 Fx=  0.000000000000000E+000 Fy=  0.400000005960464      Fz=
  0.000000000000000E+000 top layer nodes
   325        -0.37971E+00        -0.13058E+01        -0.35032E+00
   328        -0.48441E+00        -0.66826E+00        -0.29789E+00
   331        -0.44792E-09         0.14830E-09         0.49177E-09
   334         0.41822E+00        -0.73457E+00        -0.35524E+00
   337         0.38919E+00        -0.14443E+01        -0.35592E+00
   340         0.32782E+00        -0.21210E+01        -0.33981E+00
   343         0.17975E+00        -0.25708E+01        -0.32624E+00
   346         0.18860E-12        -0.27111E+01        -0.31569E+00
   349        -0.17975E+00        -0.25708E+01        -0.32624E+00
   352        -0.32782E+00        -0.21210E+01        -0.33981E+00
   355        -0.38919E+00        -0.14443E+01        -0.35592E+00
   358        -0.41822E+00        -0.73457E+00        -0.35524E+00
   361         0.44792E-09         0.14830E-09         0.49177E-09
 Fx=  0.000000000000000E+000 Fy=  0.400000005960464      Fz=
  0.000000000000000E+000 inter-layer nodes
     2         0.38366E-11         0.20234E-09         0.40597E-11
     5        -0.17207E-02        -0.69332E+00        -0.14725E-02
     8        -0.22168E-02        -0.14560E+01        -0.25760E-02
    11        -0.15183E-02        -0.21341E+01        -0.29823E-02
    14        -0.20096E-02        -0.25929E+01        -0.40964E-02
    17        -0.67724E-14        -0.27733E+01        -0.77551E-02
    20         0.20096E-02        -0.25929E+01        -0.40964E-02
    23         0.15183E-02        -0.21341E+01        -0.29823E-02
    26         0.22168E-02        -0.14560E+01        -0.25760E-02
    29         0.17207E-02        -0.69332E+00        -0.14725E-02
    32        -0.38366E-11         0.20234E-09         0.40597E-11
    35        -0.18062E-02        -0.53936E+00        -0.11189E-02
    38        -0.16481E-02        -0.13218E+01        -0.15134E-02
    41        -0.17585E-02        -0.20755E+01        -0.25600E-02
    44        -0.20669E-02        -0.27307E+01        -0.36329E-02
    47         0.24467E-03        -0.31776E+01        -0.44508E-02
    50        -0.27645E-13        -0.33191E+01        -0.31538E-02
    53        -0.24467E-03        -0.31776E+01        -0.44508E-02
    56         0.20669E-02        -0.27307E+01        -0.36329E-02
    59         0.17585E-02        -0.20755E+01        -0.25600E-02
    62         0.16481E-02        -0.13218E+01        -0.15134E-02
    65         0.18062E-02        -0.53936E+00        -0.11189E-02
    68        -0.26244E-02        -0.12965E+01        -0.18968E-02
    71        -0.25255E-02        -0.19803E+01        -0.16861E-02
    74        -0.27803E-02        -0.27131E+01        -0.24646E-02
    77        -0.16398E-02        -0.33643E+01        -0.37642E-02
    80        -0.30647E-02        -0.38094E+01        -0.48463E-02
    83         0.71682E-13        -0.39959E+01        -0.10930E-01
    86         0.30647E-02        -0.38094E+01        -0.48463E-02
    89         0.16398E-02        -0.33643E+01        -0.37642E-02
    92         0.27803E-02        -0.27131E+01        -0.24646E-02
    95         0.25255E-02        -0.19803E+01        -0.16861E-02
    98         0.26244E-02        -0.12965E+01        -0.18968E-02
   101        -0.34881E-02        -0.18748E+01        -0.16260E-02
   104        -0.37007E-02        -0.25844E+01        -0.15538E-02
   107        -0.34951E-02        -0.33060E+01        -0.22422E-02
   110        -0.46618E-02        -0.39602E+01        -0.37642E-02
   113        -0.15384E-03        -0.44497E+01        -0.73726E-02
   116        -0.36334E-14        -0.45952E+01         0.36603E-02
   119         0.15384E-03        -0.44497E+01        -0.73726E-02
   122         0.46618E-02        -0.39602E+01        -0.37642E-02
   125         0.34951E-02        -0.33060E+01        -0.22422E-02
   128         0.37007E-02        -0.25844E+01        -0.15538E-02
   131         0.34881E-02        -0.18748E+01        -0.16260E-02
   134        -0.40409E-02        -0.23390E+01        -0.40163E-03
   137        -0.42741E-02        -0.29893E+01        -0.15584E-02
   140        -0.56670E-02        -0.37186E+01         0.32794E-04
   143        -0.46022E-02        -0.44124E+01        -0.59826E-02
   146        -0.12579E-01        -0.49651E+01        -0.17676E-02
   149         0.78934E-13        -0.52799E+01        -0.45178E-01
   152         0.12579E-01        -0.49651E+01        -0.17676E-02
   155         0.46022E-02        -0.44124E+01        -0.59826E-02
   158         0.56670E-02        -0.37186E+01         0.32794E-04
   161         0.42741E-02        -0.29893E+01        -0.15584E-02
   164         0.40409E-02        -0.23390E+01        -0.40163E-03
   167        -0.47564E-02        -0.24592E+01         0.56640E-13
   170        -0.36604E-02        -0.31384E+01         0.13295E-13
   173        -0.85766E-02        -0.38706E+01         0.21805E-13
   176        -0.30973E-03        -0.45806E+01         0.20457E-13
   179        -0.31973E-01        -0.52071E+01        -0.83284E-14
   182         0.20715E-13        -0.55033E+01         0.10329E-13
   185         0.31973E-01        -0.52071E+01         0.39708E-14
   188         0.30973E-03        -0.45806E+01        -0.24488E-13
   191         0.85766E-02        -0.38706E+01        -0.55465E-13
   194         0.36604E-02        -0.31384E+01        -0.46887E-13
   197         0.47564E-02        -0.24592E+01        -0.62186E-13
   200        -0.40409E-02        -0.23390E+01         0.40163E-03
   203        -0.42741E-02        -0.29893E+01         0.15584E-02
   206        -0.56670E-02        -0.37186E+01        -0.32794E-04
   209        -0.46022E-02        -0.44124E+01         0.59826E-02
   212        -0.12579E-01        -0.49651E+01         0.17676E-02
   215         0.64843E-13        -0.52799E+01         0.45178E-01
   218         0.12579E-01        -0.49651E+01         0.17676E-02
   221         0.46022E-02        -0.44124E+01         0.59826E-02
   224         0.56670E-02        -0.37186E+01        -0.32794E-04
   227         0.42741E-02        -0.29893E+01         0.15584E-02
   230         0.40409E-02        -0.23390E+01         0.40163E-03
   233        -0.34881E-02        -0.18748E+01         0.16260E-02
   236        -0.37007E-02        -0.25844E+01         0.15538E-02
   239        -0.34951E-02        -0.33060E+01         0.22422E-02
   242        -0.46618E-02        -0.39602E+01         0.37642E-02
   245        -0.15384E-03        -0.44497E+01         0.73726E-02
   248         0.66859E-13        -0.45952E+01        -0.36603E-02
   251         0.15384E-03        -0.44497E+01         0.73726E-02
   254         0.46618E-02        -0.39602E+01         0.37642E-02
   257         0.34951E-02        -0.33060E+01         0.22422E-02
   260         0.37007E-02        -0.25844E+01         0.15538E-02
   263         0.34881E-02        -0.18748E+01         0.16260E-02
   266        -0.26244E-02        -0.12965E+01         0.18968E-02
